N=4: Loss=-0.8237668324648266
N=6: Loss=-1.6123837501408085
N=8: Loss=-2.3262287390964120
N=10: Loss=-2.9704389803689462
N=12: Loss=-3.5498405118918699
N=16: Loss=-4.5320705840108140
N=20: Loss=-5.3059500794222014
N=24: Loss=-5.9005638247517442
N=30: Loss=-6.5114502327277517
N=34: Loss=-6.7630835305230246
N=40: Loss=-6.9532482303747676
N=44: Loss=-6.9779263989069946
N=50: Loss=-6.8947168307407001
N=54: Loss=-6.7752276840849524
N=60: Loss=-6.5231515414750012
N=64: Loss=-6.3178134895711358
N=70: Loss=-5.9699330490745144
N=74: Loss=-5.7191616397964555
N=80: Loss=-5.3256121525951610
N=84: Loss=-5.0568199256037856
N=90: Loss=-4.6511533088575518
N=94: Loss=-4.3823909083036785
N=100: Loss=-3.9862791317159365
