N=4: Loss=0.9015434782024443
N=6: Loss=0.8609346254254767
N=8: Loss=0.8221549455766408
N=10: Loss=0.7851220459417323
N=12: Loss=0.7497572450791387
N=16: Loss=0.6837347747806715
N=20: Loss=0.6235261417114156
N=24: Loss=0.5686193883033647
N=30: Loss=0.4951903355753915
N=34: Loss=0.4515846359476895
N=40: Loss=0.3932689458283533
N=44: Loss=0.3586382870842403
N=50: Loss=0.3123252871509195
N=54: Loss=0.2848224025443088
N=60: Loss=0.2480416672321740
N=64: Loss=0.2261994993637062
N=70: Loss=0.1969890726574024
N=74: Loss=0.1796425177771316
N=80: Loss=0.1564442586579660
N=84: Loss=0.1426680177634602
N=90: Loss=0.1242444859345393
N=94: Loss=0.1133037075209935
N=100: Loss=0.0986721559331057
