N=4: Loss=9.8385610533038843
N=6: Loss=13.8970569060737681
N=8: Loss=17.7728650291515073
N=10: Loss=21.4742088648641740
N=12: Loss=25.0089416883480524
N=16: Loss=31.6082357886444001
N=20: Loss=37.6267848827665929
N=24: Loss=43.1156951582962833
N=30: Loss=50.4568128786424310
N=34: Loss=54.8166668377784134
N=40: Loss=60.6477333976058617
N=44: Loss=64.1107753477968316
N=50: Loss=68.7424048244502472
N=54: Loss=71.4931069491514961
N=60: Loss=75.1720208131769994
N=64: Loss=77.3569097887260000
N=70: Loss=80.2790794672682466
N=74: Loss=82.0145417670961763
N=80: Loss=84.3356278119996858
N=84: Loss=85.7141094775805357
N=90: Loss=87.5577534204379049
N=94: Loss=88.6526845535031072
N=100: Loss=90.1170951450440754
N=140: Loss=96.0660588750634616
N=200: Loss=99.0120323630766137
N=240: Loss=99.6067343990415708
N=300: Loss=99.9012355106182639
N=340: Loss=99.9606862868595414
N=400: Loss=99.9901267774385758
N=440: Loss=99.9960699129618149
N=500: Loss=99.9990130002761362
