N=4: Loss=9.8375221189026636
N=6: Loss=13.8956678674385987
N=8: Loss=17.7711595085965328
N=10: Loss=21.4722181672471244
N=12: Loss=25.0066949415744908
N=16: Loss=31.6055562746987420
N=20: Loss=37.6237661635390097
N=24: Loss=43.1124176804799220
N=30: Loss=50.4532732643918607
N=34: Loss=54.8130221644271032
N=40: Loss=60.6440148879577237
N=44: Loss=64.1070531975846905
N=50: Loss=68.7387307661206535
N=54: Loss=71.4894933923460059
N=60: Loss=75.1685302418192265
N=64: Loss=77.3535176284165118
N=70: Loss=80.2758523418106904
N=74: Loss=82.0114328074143373
N=80: Loss=84.3327034351688383
N=84: Loss=85.7113107310562157
N=90: Loss=87.5551437809047286
N=94: Loss=88.6501999387377566
N=100: Loss=90.1147944909905334
N=140: Loss=96.0647803409559344
N=200: Loss=99.0115746069625970
N=240: Loss=99.6065159156646729
N=300: Loss=99.9011669755665963
N=340: Loss=99.9606553793587267
N=400: Loss=99.9901176489521077
N=440: Loss=99.9960659166786314
N=500: Loss=99.9990118600256039
