N=4: Loss=0.9015517657880554
N=6: Loss=0.8609457054407906
N=8: Loss=0.8221685496550786
N=10: Loss=0.7851379242270033
N=12: Loss=0.7497751651022181
N=16: Loss=0.6837561451844643
N=20: Loss=0.6235502159020967
N=24: Loss=0.5686455244166858
N=30: Loss=0.4952185593815935
N=34: Loss=0.4516136956075345
N=40: Loss=0.3932985913591377
N=44: Loss=0.3586679597443609
N=50: Loss=0.3123545736214817
N=54: Loss=0.2848512049089333
N=60: Loss=0.2480694866592250
N=64: Loss=0.2262265327404864
N=70: Loss=0.1970147883473770
N=74: Loss=0.1796672902687706
N=80: Loss=0.1564675581438277
N=84: Loss=0.1426903148869490
N=90: Loss=0.1242652744844980
N=94: Loss=0.1133234988521206
N=100: Loss=0.0986904801601954
