N=4: Loss=0.0255999393632578
N=6: Loss=0.0367669680556993
N=8: Loss=0.0478060179693464
N=10: Loss=0.0587185557940648
N=12: Loss=0.0695060314108478
N=16: Loss=0.0907115126538186
N=20: Loss=0.1114337318339220
N=24: Loss=0.1316837022461987
N=30: Loss=0.1611966667539538
N=34: Loss=0.1803125653520501
N=40: Loss=0.2081726967682143
N=44: Loss=0.2262180356883718
N=50: Loss=0.2525178986628950
N=54: Loss=0.2695526331312911
N=60: Loss=0.2943796083578828
N=64: Loss=0.3104603358904987
N=70: Loss=0.3338969104269852
N=74: Loss=0.3490770588735597
N=80: Loss=0.3712011002032494
N=84: Loss=0.3855311052600884
N=90: Loss=0.4064161200047044
N=94: Loss=0.4199435927861296
N=100: Loss=0.4396589709298816
