N=4: Loss=2.5597877076839137
N=6: Loss=3.6764113942025500
N=8: Loss=4.7802390447934995
N=10: Loss=5.8714172966250588
N=12: Loss=6.9500911064655391
N=16: Loss=9.0704969405655866
N=20: Loss=11.1425833194963690
N=24: Loss=13.1674513389586583
N=30: Loss=16.1185659831511465
N=34: Loss=18.0300421380124050
N=40: Loss=20.8158954471746256
N=44: Loss=22.6203296401613976
N=50: Loss=25.2501761882929827
N=54: Loss=26.9535627299138270
N=60: Loss=29.4361388382730418
N=64: Loss=31.0441363598519935
N=70: Loss=33.3876891189187290
N=74: Loss=34.9056393705061936
N=80: Loss=37.1179540367257559
N=84: Loss=38.5508996323332909
N=90: Loss=40.6393254906524461
N=94: Loss=41.9920266597610592
N=100: Loss=43.9635014378716633
N=140: Loss=55.5000375630442448
N=200: Loss=68.5085523768259748
N=240: Loss=74.9918665106655595
N=300: Loss=82.3024047031848340
N=340: Loss=85.9459040778652223
N=400: Loss=90.0542876581077820
N=440: Loss=92.1018650883000305
N=500: Loss=94.4106986102530925
