N=4: Loss=-0.7823325668347911
N=6: Loss=-1.5530745736263358
N=8: Loss=-2.2507662024403947
N=10: Loss=-2.8804245864326536
N=12: Loss=-3.4467630927439608
N=16: Loss=-4.4069172952095483
N=20: Loss=-5.1634905887231568
N=24: Loss=-5.7448917001373108
N=30: Loss=-6.3423568847531504
N=34: Loss=-6.5885735893305828
N=40: Loss=-6.7748446594304363
N=44: Loss=-6.7992241712451795
N=50: Loss=-6.7182568588515448
N=54: Loss=-6.6016869482755638
N=60: Loss=-6.3555976854500944
N=64: Loss=-6.1550667328259951
N=70: Loss=-5.8152572115973662
N=74: Loss=-5.5702656332498135
N=80: Loss=-5.1857404294328493
N=84: Loss=-4.9230853192618573
N=90: Loss=-4.5266467729065365
N=94: Loss=-4.2639778107212036
N=100: Loss=-3.8768196213351018
