N=4: Loss=0.0445745974670204
N=6: Loss=0.0637412501729488
N=8: Loss=0.0825234033931239
N=10: Loss=0.1009287705168791
N=12: Loss=0.1189649101963455
N=16: Loss=0.1539589867076112
N=20: Loss=0.1875631238111864
N=24: Loss=0.2198325288949965
N=30: Loss=0.2658494053125193
N=34: Loss=0.2950093359198355
N=40: Loss=0.3365920338225503
N=44: Loss=0.3629421183938363
N=50: Loss=0.4005179144817690
N=54: Loss=0.4243289093110820
N=60: Loss=0.4582839079729105
N=64: Loss=0.4798004793230988
N=70: Loss=0.5104835799931877
N=74: Loss=0.5299268181269345
N=80: Loss=0.5576533003485101
N=84: Loss=0.5752229913077658
N=90: Loss=0.6002777543400029
N=94: Loss=0.6161544328171317
N=100: Loss=0.6387949230742430
