N=4: Loss=-0.7822597491765451
N=6: Loss=-1.5529285456882191
N=8: Loss=-2.2505271467371744
N=10: Loss=-2.8800758163308746
N=12: Loss=-3.4462907566743892
N=16: Loss=-4.4061662686127452
N=20: Loss=-5.1624330516426262
N=24: Loss=-5.7435139912360356
N=30: Loss=-6.3404972441791871
N=34: Loss=-6.5864036233444176
N=40: Loss=-6.7722403675086635
N=44: Loss=-6.7963568859557837
N=50: Loss=-6.7150410831627703
N=54: Loss=-6.5982713882889046
N=60: Loss=-6.3519322430078056
N=64: Loss=-6.1512674768940485
N=70: Loss=-5.8113044423733546
N=74: Loss=-5.5662403360168859
N=80: Loss=-5.1816476359731087
N=84: Loss=-4.9189728474362386
N=90: Loss=-4.5225387914257453
N=94: Loss=-4.2598931505069126
N=100: Loss=-3.8727964761842317
