N=4: Loss=0.0256091050278663
N=6: Loss=0.0367796529030441
N=8: Loss=0.0478221401195318
N=10: Loss=0.0587380347818923
N=12: Loss=0.0695287881641410
N=16: Loss=0.0907405931870990
N=20: Loss=0.1114688360464904
N=24: Loss=0.1317245404324616
N=30: Loss=0.1612455846618214
N=34: Loss=0.1803665363839012
N=40: Loss=0.2082337707559583
N=44: Loss=0.2262835402328136
N=50: Loss=0.2525896134703862
N=54: Loss=0.2696282098176276
N=60: Loss=0.2944605803335346
N=64: Loss=0.3105446508728562
N=70: Loss=0.3339858775382839
N=74: Loss=0.3491688961298216
N=80: Loss=0.3712969127534447
N=84: Loss=0.3856293575774963
N=90: Loss=0.4065177320078968
N=94: Loss=0.4200472533870623
N=100: Loss=0.4397654320998714
