N=4: Loss=2.5609105027866286
N=6: Loss=3.6779652903044080
N=8: Loss=4.7822140119531786
N=10: Loss=5.8738034781892328
N=12: Loss=6.9528788164140991
N=16: Loss=9.0740593187099030
N=20: Loss=11.1468836046490374
N=24: Loss=13.1724540432461623
N=30: Loss=16.1245584661821368
N=34: Loss=18.0366536383901206
N=40: Loss=20.8233770755958290
N=44: Loss=22.6283540232813607
N=50: Loss=25.2589613470386212
N=54: Loss=26.9628209817627571
N=60: Loss=29.4460580333534629
N=64: Loss=31.0544650872856209
N=70: Loss=33.3985877538283873
N=74: Loss=34.9168896129821604
N=80: Loss=37.1296912753444701
N=84: Loss=38.5629357577496279
N=90: Loss=40.6517732007896768
N=94: Loss=42.0047253387062298
N=100: Loss=43.9765432099871418
N=140: Loss=55.5144953887029757
N=200: Loss=68.5231365860042132
N=240: Loss=75.0057523618910835
N=300: Loss=82.3146769736641488
N=340: Loss=85.9569443922533765
N=400: Loss=90.0634746724231974
N=440: Loss=92.1098880967482927
N=500: Loss=94.4171483077495282
