N=4: Loss=0.0445267784573017
N=6: Loss=0.0636756459091229
N=8: Loss=0.0824407463265366
N=10: Loss=0.1008297708765042
N=12: Loss=0.1188502565854698
N=16: Loss=0.1538150073566771
N=20: Loss=0.1873923278918440
N=24: Loss=0.2196372725705218
N=30: Loss=0.2656215615448900
N=34: Loss=0.2947623055151822
N=40: Loss=0.3363197156770326
N=44: Loss=0.3626550984045966
N=50: Loss=0.4002118026155265
N=54: Loss=0.4240118944770909
N=60: Loss=0.4579530382031770
N=64: Loss=0.4794619100687845
N=70: Loss=0.5101355610623550
N=74: Loss=0.5295737872516515
N=80: Loss=0.5572945049996587
N=84: Loss=0.5748614252801414
N=90: Loss=0.5999134868239647
N=94: Loss=0.6157892506480716
N=100: Loss=0.6384295658556611
