N=4: Loss=-0.8238581119343227
N=6: Loss=-1.6125668015812256
N=8: Loss=-2.3265284048441695
N=10: Loss=-2.9708761782441511
N=12: Loss=-3.5504326059521798
N=16: Loss=-4.5330120323797392
N=20: Loss=-5.3072757584659644
N=24: Loss=-5.9022908625726318
N=30: Loss=-6.5137814126433851
N=34: Loss=-6.7658037334471359
N=40: Loss=-6.9565129090029387
N=44: Loss=-6.9815207730059319
N=50: Loss=-6.8987480879890715
N=54: Loss=-6.7795094042431838
N=60: Loss=-6.5277465377374968
N=64: Loss=-6.3225762518534845
N=70: Loss=-5.9748882835642600
N=74: Loss=-5.7242078147460953
N=80: Loss=-5.3307429701660345
N=84: Loss=-5.0619754313767515
N=90: Loss=-4.6563032138251099
N=94: Loss=-4.3875115957745523
N=100: Loss=-3.9913227293589761
