N=4: Meters=1.0519391964979217
N=6: Meters=1.4727148750970904
N=8: Meters=1.8934905536962594
N=10: Meters=2.3142662322954282
N=12: Meters=2.7350419108945965
N=16: Meters=3.5765932680929344
N=20: Meters=4.4181446252912711
N=24: Meters=5.2596959824896086
N=30: Meters=6.5220230182871148
N=34: Meters=7.3635743754854532
N=40: Meters=8.6259014112829604
N=44: Meters=9.4674527684812961
N=50: Meters=10.7297798042788024
N=54: Meters=11.5713311614771399
N=60: Meters=12.8336581972746462
N=64: Meters=13.6752095544729819
N=70: Meters=14.9375365902704900
N=74: Meters=15.7790879474688275
N=80: Meters=17.0414149832663355
N=84: Meters=17.8829663404646695
N=90: Meters=19.1452933762621811
N=94: Meters=19.9868447334605150
N=100: Meters=21.2491717692580195
N=140: Meters=29.6646853412413947
N=200: Meters=42.2879556992164538
N=240: Meters=50.7034692711998360
N=300: Meters=63.3267396291748952
N=340: Meters=71.7422532011582632
N=400: Meters=84.3655235591333366
N=440: Meters=92.7810371311167046
N=500: Meters=105.4043074890917637
